Ten hoat dong|Thoi gian|Link
Danh sách Thành viên Câu lạc bộ Học kì II , năm học 2023 - 2024|17/07/2024|https://drive.google.com/uc?export=download&id=12y_6vp9nrIWZ5zs7iknQyEONgimYEB-B
Văn nghệ Chào mừng Chol Chnam Thmay|05/04/2024|https://drive.google.com/uc?export=download&id=1n6qj3hqVOupD_BubgcYhJV5UpwMC9MkY
Chương trình Văn nghệ Chào đón Tân Sinh viên Trường Đại học Trà Vinh 2024|16/09/2024|https://drive.google.com/uc?export=download&id=1IrNAY3UbTA0PnKPXKw--8-sbK2qCnMXY
Cuộc thi Tiếng Anh trong sinh viên Toàn quốc - Star Awards 2024|02/10/2024|https://drive.google.com/uc?export=download&id=1JefiXa-O4azY6wq8Az1D5gw9p1mvZpdQ
Lễ Hội Ok Om Bok 2024|09/11/2024|https://drive.google.com/uc?export=download&id=18y2f_3zml-CIjbZYVKgRRDQf27pyAVaw
Giấy Xác nhận Thành viên Câu lạc bộ, học kì I 2024 - 2025|02/02/2025|https://drive.google.com/uc?export=download&id=1TbZ4LGr-7GKaFswOp6oqETF3R4WxSchl
Lễ Kết nạp Hội viên 224|19/12/2024|https://drive.google.com/uc?export=download&id=1Gu66k7wE_oV0u5AD6TpodmdeeJTC5piK
